"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Duration","Growth Habit"
"ASFI","","ASFI","Astragalus filipes","Perennial","Forb/herb"
"ASFL","","ASFL","Astragalus flavus","Perennial","Forb/herb"
"ASFL2","","ASFL2","Astragalus flexuosus","Perennial","Forb/herb"
"ASFLF","","ASFLF","Astragalus flexuosus var. flexuosus","Perennial","Forb/herb"
"ASFLG","","ASFLG","Astragalus flexuosus var. greenei","Perennial","Forb/herb"
"ASFU2","","ASFU2","Astragalus fucatus","Perennial","Forb/herb"
"ASGE","","ASGE","Astragalus geyeri","Annual, Biennial","Forb/herb"
"ASGEG","","ASGEG","Astragalus geyeri var. geyeri","Annual, Biennial","Forb/herb"
"ASGI2","","ASGI2","Astragalus giganteus","Perennial","Forb/herb"
"ASGI3","","ASGI3","Astragalus gilensis","Perennial","Forb/herb"
"ASGI5","","ASGI5","Astragalus gilviflorus","Perennial","Forb/herb"
"ASGIG","","ASGIG","Astragalus gilviflorus var. gilviflorus","Perennial","Forb/herb"
"ASGR3","","ASGR3","Astragalus gracilis","Perennial","Forb/herb"
"ASGY","","ASGY","Astragalus gypsodes","Perennial","Forb/herb"
"ASHA2","","ASHA2","Astragalus hallii","Perennial","Forb/herb"
"ASHAF","","ASHAF","Astragalus hallii var. fallax","Perennial","Forb/herb"
"ASHAH","","ASHAH","Astragalus hallii var. hallii","Perennial","Forb/herb"
"ASHU","","ASHU","Astragalus humillimus","Perennial","Subshrub, Forb/herb"
"ASHU2","","ASHU2","Astragalus humistratus","Perennial","Forb/herb"
"ASHUC","","ASHUC","Astragalus humistratus var. crispulus","Perennial","Forb/herb"
"ASHUH","","ASHUH","Astragalus humistratus var. hosackiae","Perennial","Forb/herb"
"ASHUH3","","ASHUH3","Astragalus humistratus var. humistratus","Perennial","Forb/herb"
"ASHUS","","ASHUS","Astragalus humistratus var. sonorae","Perennial","Forb/herb"
"ASIN5","","ASIN5","Astragalus inflexus","Perennial","Forb/herb"
"ASIO","","ASIO","Astragalus iodanthus","Perennial","Forb/herb"
"ASIOD","","ASIOD","Astragalus iodanthus var. diaphanoides","Perennial","Forb/herb"
"ASIOI","","ASIOI","Astragalus iodanthus var. iodanthus","Perennial","Forb/herb"
"ASIO2","","ASIO2","Astragalus iodopetalus","Perennial","Forb/herb"
"ASJE2","","ASJE2","Astragalus jejunus","Perennial","Forb/herb"
"ASJEJ","","ASJEJ","Astragalus jejunus var. jejunus","Perennial","Forb/herb"
"ASKE","","ASKE","Astragalus kentrophyta","Perennial","Subshrub, Forb/herb"
"ASKEE","","ASKEE","Astragalus kentrophyta var. elatus","Perennial","Subshrub, Forb/herb"
"ASKEJ","","ASKEJ","Astragalus kentrophyta var. jessiae","Perennial","Subshrub, Forb/herb"
"ASKEN","","ASKEN","Astragalus kentrophyta var. neomexicanus","Perennial","Subshrub, Forb/herb"
"ASKET","","ASKET","Astragalus kentrophyta var. tegetarius","Perennial","Subshrub, Forb/herb"
"ASKE5","","ASKE5","Astragalus kerrii","Perennial","Forb/herb"
"ASKN","","ASKN","Astragalus knightii","Perennial","Forb/herb"
"ASLA27","","ASLA27","Astragalus laxmannii","Perennial","Forb/herb"
"ASLAR","","ASLAR","Astragalus laxmannii var. robustior","Perennial","Forb/herb"
"ASLE8","","ASLE8","Astragalus lentiginosus","Annual, Biennial, Perennial","Forb/herb, Shrub, Subshrub"
"ASLEA5","","ASLEA5","Astragalus lentiginosus var. australis","Perennial","Forb/herb"
"ASLEC","","ASLEC","Astragalus lentiginosus var. chartaceus","Perennial","Forb/herb"
"ASLED","","ASLED","Astragalus lentiginosus var. diphysus","Perennial","Forb/herb"
"ASLEL3","","ASLEL3","Astragalus lentiginosus var. lentiginosus","Perennial","Forb/herb"
"ASLES","","ASLES","Astragalus lentiginosus var. salinus","Perennial","Forb/herb"
"ASLE9","","ASLE9","Astragalus leptaleus","Perennial","Forb/herb"
"ASLO3","","ASLO3","Astragalus lonchocarpus","Perennial","Forb/herb"
"ASLO4","","ASLO4","Astragalus lotiflorus","Perennial","Forb/herb"
"ASMA6","","ASMA6","Astragalus malacus","Perennial","Forb/herb"
"ASMI4","","ASMI4","Astragalus microcystis","Perennial","Forb/herb"
"ASMI5","","ASMI5","Astragalus micromerius","Perennial","Subshrub, Forb/herb"
"ASMI9","","ASMI9","Astragalus miser","Perennial","Forb/herb"
"ASMIC","","ASMIC","Astragalus miser var. crispatus","Perennial","Forb/herb"
"ASMIH","","ASMIH","Astragalus miser var. hylophilus","Perennial","Forb/herb"
"ASMIM4","","ASMIM4","Astragalus miser var. miser","Perennial","Forb/herb"
"ASMIO","","ASMIO","Astragalus miser var. oblongifolius","Perennial","Forb/herb"
"ASMIP2","","ASMIP2","Astragalus miser var. praeteritus","Perennial","Forb/herb"
"ASMIS","","ASMIS","Astragalus miser var. serotinus","Perennial","Forb/herb"
"ASMIT","","ASMIT","Astragalus miser var. tenuifolius","Perennial","Forb/herb"
"ASMI10","","ASMI10","Astragalus missouriensis","Perennial","Subshrub, Forb/herb"
"ASMIA","","ASMIA","Astragalus missouriensis var. amphibolus","Perennial","Subshrub, Forb/herb"
"ASMIM","","ASMIM","Astragalus missouriensis var. mimetes","Perennial","Subshrub, Forb/herb"
"ASMIM5","","ASMIM5","Astragalus missouriensis var. missouriensis","Perennial","Subshrub, Forb/herb"
"ASMO7","","ASMO7","Astragalus mollissimus","Perennial","Forb/herb"
"ASMOB","","ASMOB","Astragalus mollissimus var. bigelovii","Perennial","Forb/herb"
"ASMOE","","ASMOE","Astragalus mollissimus var. earlei","Perennial","Forb/herb"
"ASMOM2","","ASMOM2","Astragalus mollissimus var. matthewsii","Perennial","Forb/herb"
"ASMOM3","","ASMOM3","Astragalus mollissimus var. mogollonicus","Perennial","Forb/herb"
"ASMOM5","","ASMOM5","Astragalus mollissimus var. mollissimus","Perennial","Forb/herb"
"ASMOT","","ASMOT","Astragalus mollissimus var. thompsoniae","Perennial","Forb/herb"
"ASMO10","","ASMO10","Astragalus monumentalis","Perennial","Forb/herb"
"ASMOC2","","ASMOC2","Astragalus monumentalis var. cottamii","Perennial","Forb/herb"
"ASMU","","ASMU","Astragalus mulfordiae","Perennial","Forb/herb"
"ASNA","","ASNA","Astragalus naturitensis","Perennial","Forb/herb"
"ASNE4","","ASNE4","Astragalus neomexicanus","Perennial","Forb/herb"
"ASNE6","","ASNE6","Astragalus newberryi","Perennial","Forb/herb"
"ASNEC","","ASNEC","Astragalus newberryi var. castoreus","Perennial","Forb/herb"
"ASNEN","","ASNEN","Astragalus newberryi var. newberryi","Perennial","Forb/herb"
"ASNO3","","ASNO3","Astragalus nothoxys","Perennial","Forb/herb"
"ASNU2","","ASNU2","Astragalus nudisiliquus","Perennial","Forb/herb"
"ASNU7","","ASNU7","Astragalus nutriosensis","Perennial","Forb/herb"
"ASNU4","","ASNU4","Astragalus nuttallianus","Annual, Perennial","Forb/herb"
"ASNUA","","ASNUA","Astragalus nuttallianus var. austrinus","Annual, Perennial","Forb/herb"
"ASNUM","","ASNUM","Astragalus nuttallianus var. macilentus","Annual, Perennial","Forb/herb"
"ASNUM2","","ASNUM2","Astragalus nuttallianus var. micranthiformis","Annual, Perennial","Forb/herb"
"ASOB4","","ASOB4","Astragalus obscurus","Perennial","Forb/herb"
"ASON2","","ASON2","Astragalus oniciformis","Perennial","Forb/herb"
"ASOO","","ASOO","Astragalus oocalycis","Perennial","Forb/herb"
"ASPA14","","ASPA14","Astragalus pattersonii","Perennial","Subshrub, Forb/herb"
"ASPA16","","ASPA16","Astragalus paysonii","Perennial","Forb/herb"
"ASPI3","","ASPI3","Astragalus pictiformis","Perennial","Forb/herb"
"ASPL3","","ASPL3","Astragalus platytropis","Perennial","Subshrub, Forb/herb"
"ASPR5","","ASPR5","Astragalus praelongus","Perennial","Forb/herb"
"ASPRE","","ASPRE","Astragalus praelongus var. ellisiae","Perennial","Forb/herb"
"ASPRL","","ASPRL","Astragalus praelongus var. lonchopus","Perennial","Forb/herb"
"ASPRP2","","ASPRP2","Astragalus praelongus var. praelongus","Perennial","Forb/herb"
"ASPR8","","ASPR8","Astragalus proximus","Perennial","Forb/herb"
"ASPU8","","ASPU8","Astragalus puniceus","Perennial","Forb/herb"
"ASPUG","","ASPUG","Astragalus puniceus var. gertrudis","Perennial","Forb/herb"
"ASPUP6","","ASPUP6","Astragalus puniceus var. puniceus","Perennial","Forb/herb"
"ASPU9","","ASPU9","Astragalus purshii","Perennial","Forb/herb"
"ASPUC","","ASPUC","Astragalus purshii var. concinnus","Perennial","Forb/herb"
"ASPUG2","","ASPUG2","Astragalus purshii var. glareosus","Perennial","Forb/herb"
"ASPUO","","ASPUO","Astragalus purshii var. ophiogenes","Perennial","Forb/herb"
"ASPUP7","","ASPUP7","Astragalus purshii var. purshii","Perennial","Forb/herb"
"ASRA2","","ASRA2","Astragalus racemosus","Perennial","Forb/herb"
"ASRAL","","ASRAL","Astragalus racemosus var. longisetus","Perennial","Forb/herb"
"ASRAR2","","ASRAR2","Astragalus racemosus var. racemosus","Perennial","Forb/herb"
"ASRE5","","ASRE5","Astragalus reventus","Perennial","Forb/herb"
"ASRI","","ASRI","Astragalus riparius","Perennial","Forb/herb"
"ASRI2","","ASRI2","Astragalus ripleyi","Perennial","Forb/herb"
"ASRO","","ASRO","Astragalus robbinsii","Perennial","Forb/herb"
"ASROM","","ASROM","Astragalus robbinsii var. minor","Perennial","Forb/herb"
"ASSA2","","ASSA2","Astragalus sabulonum","Annual, Perennial","Forb/herb"
"ASSA4","","ASSA4","Astragalus salmonis","Perennial","Forb/herb"
"ASSC4","","ASSC4","Astragalus scaphoides","Perennial","Forb/herb"
"ASSC7","","ASSC7","Astragalus scopulorum","Perennial","Forb/herb"
"ASSE5","","ASSE5","Astragalus sericoleucus","Perennial","Forb/herb"
"ASSH2","","ASSH2","Astragalus sheldonii","Perennial","Subshrub, Forb/herb"
"ASSH3","","ASSH3","Astragalus shortianus","Perennial","Forb/herb"
"ASSI3","","ASSI3","Astragalus siliceus","Perennial","Subshrub, Forb/herb"
"ASSP4","","ASSP4","Astragalus spaldingii","Perennial","Forb/herb"
"ASSP6","","ASSP6","Astragalus spatulatus","Perennial","Forb/herb"
"ASTE5","","ASTE5","Astragalus tenellus","Perennial","Forb/herb"
"ASTE8","","ASTE8","Astragalus tephrodes","Perennial","Forb/herb"
"ASTEB","","ASTEB","Astragalus tephrodes var. brachylobus","Perennial","Forb/herb"
"ASTET3","","ASTET3","Astragalus tephrodes var. tephrodes","Perennial","Forb/herb"
"ASTE9","","ASTE9","Astragalus terminalis","Perennial","Forb/herb"
"ASTE10","","ASTE10","Astragalus tetrapterus","Perennial","Forb/herb"
"ASTH","","ASTH","Astragalus thurberi","Annual, Perennial","Forb/herb"
"ASTO2","","ASTO2","Astragalus toanus","Perennial","Forb/herb"
"ASTOT","","ASTOT","Astragalus toanus var. toanus","Perennial","Forb/herb"
"ASUT","","ASUT","Astragalus utahensis","Perennial","Forb/herb"
"ASVA2","","ASVA2","Astragalus vaccarum","Perennial","Forb/herb"
"ASVA3","","ASVA3","Astragalus vallaris","Perennial","Forb/herb"
"ASVE5","","ASVE5","Astragalus vexilliflexus","Perennial","Subshrub, Forb/herb"
"ASVEN","","ASVEN","Astragalus vexilliflexus var. nubilus","Perennial","Subshrub, Forb/herb"
"ASVEV2","","ASVEV2","Astragalus vexilliflexus var. vexilliflexus","Perennial","Subshrub, Forb/herb"
"ASWA3","","ASWA3","Astragalus waterfallii","Perennial","Forb/herb"
"ASWH","","ASWH","Astragalus whitneyi","Perennial","Forb/herb"
"ASWHC","","ASWHC","Astragalus whitneyi var. confusus","Perennial","Forb/herb"
"ASWHS2","","ASWHS2","Astragalus whitneyi var. sonneanus","Perennial","Forb/herb"
"ASWI2","","ASWI2","Astragalus wingatanus","Perennial","Forb/herb"
"ASWI3","","ASWI3","Astragalus wittmannii","Perennial","Forb/herb"
"ASWO2","","ASWO2","Astragalus wootonii","Annual, Biennial","Forb/herb"
"ASYO","","ASYO","Astragalus yoder-williamsii","Perennial","Forb/herb"
"ASZI","","ASZI","Astragalus zionis","Perennial","Forb/herb"
"ASZIZ","","ASZIZ","Astragalus zionis var. zionis","Perennial","Forb/herb"
"ASTRO","","ASTRO","Astrolepis","",""
"ASCO42","","ASCO42","Astrolepis cochisensis","Perennial","Forb/herb"
"ASCOC2","","ASCOC2","Astrolepis cochisensis ssp. chihuahuaensis","Perennial","Forb/herb"
"ASCOC3","","ASCOC3","Astrolepis cochisensis ssp. cochisensis","Perennial","Forb/herb"
"ASIN19","","ASIN19","Astrolepis integerrima","Perennial","Forb/herb"
"ASSI9","","ASSI9","Astrolepis sinuata","Perennial","Forb/herb"
"ASSIM2","","ASSIM2","Astrolepis sinuata ssp. mexicana","Perennial","Forb/herb"
"ASSIS","","ASSIS","Astrolepis sinuata ssp. sinuata","Perennial","Forb/herb"
"ASWI4","","ASWI4","Astrolepis windhamii","Perennial","Forb/herb"
"ATHYR","","ATHYR","Athyrium","",""
"ATAM","","ATAM","Athyrium americanum","Perennial","Forb/herb"
"ATFI","","ATFI","Athyrium filix-femina","Perennial","Forb/herb"
"ATFIC","","ATFIC","Athyrium filix-femina ssp. cyclosorum","Perennial","Forb/herb"
"ATHYS","","ATHYS","Athysanus","",""
"ATPU","","ATPU","Athysanus pusillus","Annual","Forb/herb"
"ATRIP","","ATRIP","Atriplex","",""
"ATAC","","ATAC","Atriplex acanthocarpa","Perennial","Subshrub, Shrub"
"ATACA","","ATACA","Atriplex acanthocarpa ssp. acanthocarpa","Perennial","Subshrub, Shrub"
"ATAR2","","ATAR2","Atriplex argentea","Annual, Perennial","Forb/herb"
"ATARA","","ATARA","Atriplex argentea ssp. argentea","Annual, Perennial","Forb/herb"
"ATARA2","","ATARA2","Atriplex argentea ssp. argentea var. argentea","Annual, Perennial","Forb/herb"
"ATARC2","","ATARC2","Atriplex argentea ssp. argentea var. caput-medusae","Annual, Perennial","Forb/herb"
"ATARE","","ATARE","Atriplex argentea ssp. expansa","Annual, Perennial","Forb/herb"
"ATCA2","","ATCA2","Atriplex canescens","Perennial","Shrub"
"ATCAC","","ATCAC","Atriplex canescens var. canescens","Perennial","Shrub"
"ATCO","","ATCO","Atriplex confertifolia","Perennial","Subshrub, Shrub"
"ATCO4","","ATCO4","Atriplex corrugata","Perennial","Subshrub, Shrub"
"ATCU","","ATCU","Atriplex cuneata","Perennial","Subshrub, Shrub"
"ATCUC","","ATCUC","Atriplex cuneata ssp. cuneata","Perennial","Subshrub, Shrub"
"ATEL","","ATEL","Atriplex elegans","Annual, Perennial","Forb/herb"
"ATELE","","ATELE","Atriplex elegans var. elegans","Annual, Perennial","Forb/herb"
"ATELT","","ATELT","Atriplex elegans var. thornberi","Annual, Perennial","Forb/herb"
"ATFA","","ATFA","Atriplex falcata","Perennial","Subshrub, Shrub"
"ATGA","","ATGA","Atriplex gardneri","Perennial","Subshrub, Shrub"
"ATGA2","","ATGA2","Atriplex garrettii","Perennial","Subshrub, Shrub"
"ATGR2","","ATGR2","Atriplex griffithsii","Perennial","Shrub"
"ATHO","","ATHO","Atriplex hortensis","Annual","Forb/herb"
"ATMI2","","ATMI2","Atriplex micrantha","Annual","Forb/herb"
"ATNE","","ATNE","Atriplex ×neomexicana","Perennial","Subshrub, Shrub"
"ATOB","","ATOB","Atriplex obovata","Perennial","Subshrub, Shrub"
"ATPA8","","ATPA8","Atriplex pachypoda","Annual","Forb/herb"
"ATPA4","","ATPA4","Atriplex patula","Annual","Forb/herb"
"ATPO2","","ATPO2","Atriplex powellii","Annual","Forb/herb"
"ATPR","","ATPR","Atriplex prostrata","Annual","Forb/herb"
"ATPU2","","ATPU2","Atriplex pusilla","Annual","Forb/herb"
"ATRO","","ATRO","Atriplex rosea","Annual","Forb/herb"
"ATSA","","ATSA","Atriplex saccaria","Annual","Forb/herb"
"ATSE","","ATSE","Atriplex semibaccata","Perennial","Subshrub, Shrub, Forb/herb"
"ATSU2","","ATSU2","Atriplex subspicata","Annual","Forb/herb"
"ATTR3","","ATTR3","Atriplex tridentata","Perennial","Subshrub, Shrub"
"ATTR","","ATTR","Atriplex truncata","Annual","Forb/herb"
"ATWR","","ATWR","Atriplex wrightii","Annual","Forb/herb"
"AVENA","","AVENA","Avena","",""
"AVBA","","AVBA","Avena barbata","Annual","Graminoid"
"AVFA","","AVFA","Avena fatua","Annual","Graminoid"
"AVSA","","AVSA","Avena sativa","Annual","Graminoid"
"AVENU","","AVENU","Avenula","",""
"AVHO3","","AVHO3","Avenula hookeri","Perennial","Graminoid"
"AYENI","","AYENI","Ayenia","",""
"AYFI","","AYFI","Ayenia filiformis","Perennial","Subshrub"
"AYMI","","AYMI","Ayenia microphylla","Perennial","Subshrub, Shrub"
"AYPI","","AYPI","Ayenia pilosa","Perennial","Subshrub"
"AZOLL","","AZOLL","Azolla","",""
"AZMI","","AZMI","Azolla microphylla","Annual, Perennial","Forb/herb"
"BACCH","","BACCH","Baccharis","",""
"BABI","","BABI","Baccharis bigelovii","Perennial","Subshrub"
"BABR","","BABR","Baccharis brachyphylla","Perennial","Subshrub, Shrub"
"BAEM","","BAEM","Baccharis emoryi","Perennial","Shrub"
"BAHA2","","BAHA2","Baccharis havardii","Perennial","Subshrub"
"BANE2","","BANE2","Baccharis neglecta","Perennial","Shrub"
"BAPI","","BAPI","Baccharis pilularis","Perennial","Subshrub, Shrub"
"BAPT","","BAPT","Baccharis pteronioides","Perennial","Shrub"
"BASA4","","BASA4","Baccharis salicifolia","Perennial","Shrub"
"BASA","","BASA","Baccharis salicina","Perennial","Shrub"
"BASA2","","BASA2","Baccharis sarothroides","Perennial","Shrub"
"BATE","","BATE","Baccharis texana","Perennial","Subshrub"
"BATH","","BATH","Baccharis thesioides","Perennial","Subshrub"
"BAWR","","BAWR","Baccharis wrightii","Perennial","Subshrub, Shrub"
"BACOP","","BACOP","Bacopa","",""
"BARO","","BARO","Bacopa rotundifolia","Perennial","Forb/herb"
"BAHIA","","BAHIA","Bahia","",""
"BAAB","","BAAB","Bahia absinthifolia","Perennial","Forb/herb"
"BAABA","","BAABA","Bahia absinthifolia var. absinthifolia","Perennial","Forb/herb"
"BAABD","","BAABD","Bahia absinthifolia var. dealbata","Perennial","Forb/herb"
"BABI3","","BABI3","Bahia biternata","Annual","Forb/herb"
"BADI","","BADI","Bahia dissecta","Annual, Biennial, Perennial","Forb/herb"
"BAPE","","BAPE","Bahia pedata","Annual","Forb/herb"
"BAILE","","BAILE","Baileya","",""
"BAMU","","BAMU","Baileya multiradiata","Annual, Biennial, Perennial","Forb/herb"
"BAPL3","","BAPL3","Baileya pleniradiata","Annual, Biennial, Perennial","Forb/herb"
"BALSA","","BALSA","Balsamorhiza","",""
"BAHO","","BAHO","Balsamorhiza hookeri","Perennial","Forb/herb"
"BAHOH2","","BAHOH2","Balsamorhiza hookeri var. hispidula","Perennial","Forb/herb"
"BAHOI","","BAHOI","Balsamorhiza hookeri var. idahoensis","Perennial","Forb/herb"
"BAHON","","BAHON","Balsamorhiza hookeri var. neglecta","Perennial","Forb/herb"
"BAIN","","BAIN","Balsamorhiza incana","Perennial","Forb/herb"
"BAMA4","","BAMA4","Balsamorhiza macrophylla","Perennial","Forb/herb"
"BASA3","","BASA3","Balsamorhiza sagittata","Perennial","Forb/herb"
"BATO2","","BATO2","Balsamorhiza ×tomentosa","Perennial","Forb/herb"
"BARBA","","BARBA","Barbarea","",""
"BAOR","","BAOR","Barbarea orthoceras","Biennial, Perennial","Forb/herb"
"BAVU","","BAVU","Barbarea vulgaris","Biennial","Forb/herb"
"BARBU2","","BARBU2","Barbula","",""
"BARKL","","BARKL","Barkleyanthus","",""
"BASA5","","BASA5","Barkleyanthus salicifolius","Perennial","Subshrub, Shrub"
"BARTL","","BARTL","Bartlettia","",""
"BASC","","BASC","Bartlettia scaposa","Annual","Forb/herb"
"BASSI","","BASSI","Bassia","",""
"BAAM4","","BAAM4","Bassia americana","Perennial","Subshrub"
"BAHI3","","BAHI3","Bassia hirsuta","Annual","Forb/herb"
"BAHY","","BAHY","Bassia hyssopifolia","Annual","Forb/herb"
"BAPR5","","BAPR5","Bassia prostrata","Perennial","Subshrub"
"BASC5","","BASC5","Bassia scoparia","Annual","Forb/herb"
"BEBBI","","BEBBI","Bebbia","",""
"BEJU","","BEJU","Bebbia juncea","Perennial","Subshrub, Shrub"
"BEJUA","","BEJUA","Bebbia juncea var. aspera","Perennial","Subshrub, Shrub"
"BECKM","","BECKM","Beckmannia","",""
"BESY","","BESY","Beckmannia syzigachne","Annual","Graminoid"
"BELLI","","BELLI","Bellis","",""
"BEPE2","","BEPE2","Bellis perennis","Perennial","Forb/herb"
"BERBE","","BERBE","Berberis","",""
"BEFE","","BEFE","Berberis fendleri","Perennial","Shrub"
"BEVU","","BEVU","Berberis vulgaris","Perennial","Shrub"
"BEWI","","BEWI","Berberis wilcoxii","Perennial","Shrub"
"BERGI","","BERGI","Bergia","",""
"BETE","","BETE","Bergia texana","Annual, Perennial","Forb/herb"
"BERLA","","BERLA","Berlandiera","",""
"BEBE4","","BEBE4","Berlandiera betonicifolia","Perennial","Forb/herb, Shrub, Subshrub"
"BELY","","BELY","Berlandiera lyrata","Perennial","Forb/herb"
"BERNA","","BERNA","Bernardia","",""
"BEOB","","BEOB","Bernardia obovata","Perennial","Shrub"
"BERTE","","BERTE","Berteroa","",""
"BEIN2","","BEIN2","Berteroa incana","Annual, Biennial, Perennial","Forb/herb"
"BERUL","","BERUL","Berula","",""
"BEER","","BEER","Berula erecta","Perennial","Forb/herb"
"BESSE","","BESSE","Besseya","",""
"BEAL","","BEAL","Besseya alpina","Perennial","Forb/herb"
"BEAR","","BEAR","Besseya arizonica","Perennial","Forb/herb"
"BEOB2","","BEOB2","Besseya oblongifolia","Perennial","Forb/herb"
"BEPL","","BEPL","Besseya plantaginea","Perennial","Forb/herb"
"BERU","","BERU","Besseya rubra","Perennial","Forb/herb"
"BEWY","","BEWY","Besseya wyomingensis","Perennial","Forb/herb"
"BETUL","","BETUL","Betula","",""
"BEGL","","BEGL","Betula glandulosa","Perennial","Shrub, Subshrub"
"BENA","","BENA","Betula nana","Perennial","Shrub, Subshrub"
"BEOC2","","BEOC2","Betula occidentalis","Perennial","Tree, Shrub"
"BEPA","","BEPA","Betula papyrifera","Perennial","Tree"
"BEPAP","","BEPAP","Betula papyrifera var. papyrifera","Perennial","Tree"
"BEPU4","","BEPU4","Betula pumila","Perennial","Shrub"
"BEPUG","","BEPUG","Betula pumila var. glandulifera","Perennial","Shrub"
"BESA3","","BESA3","Betula ×sargentii","Perennial","Subshrub, Shrub"
"BEUT","","BEUT","Betula ×utahensis","Perennial","Tree, Shrub"
"BIDEN","","BIDEN","Bidens","",""
"BIAL","","BIAL","Bidens alba","Annual, Perennial","Forb/herb"
"BIALR","","BIALR","Bidens alba var. radiata","Annual, Perennial","Forb/herb"
"BIBE2","","BIBE2","Bidens beckii","Perennial","Forb/herb"
"BIBI","","BIBI","Bidens bigelovii","Annual","Forb/herb"
"BIBIB2","","BIBIB2","Bidens bigelovii var. bigelovii","Annual","Forb/herb"
"BIBI7","","BIBI7","Bidens bipinnata","Annual","Forb/herb"
"BICE","","BICE","Bidens cernua","Annual","Forb/herb"
"BIFR","","BIFR","Bidens frondosa","Annual","Forb/herb"
"BIHE","","BIHE","Bidens heterosperma","Annual","Forb/herb"
"BILA","","BILA","Bidens laevis","Annual, Perennial","Forb/herb"
"BILE2","","BILE2","Bidens lemmonii","Perennial","Forb/herb"
"BILE","","BILE","Bidens leptocephala","Annual","Forb/herb"
"BIPI","","BIPI","Bidens pilosa","Annual","Forb/herb"
"BITE","","BITE","Bidens tenuisecta","Annual","Forb/herb"
"BITR","","BITR","Bidens tripartita","Annual","Forb/herb"
"BIVU","","BIVU","Bidens vulgata","Annual","Forb/herb"
"BLECH","","BLECH","Blechnum","",""
"BLSP","","BLSP","Blechnum spicant","Perennial","Forb/herb"
"BLEPH","","BLEPH","Blepharidachne","",""
"BLBI","","BLBI","Blepharidachne bigelovii","Perennial","Graminoid"
"BLKI","","BLKI","Blepharidachne kingii","Perennial","Graminoid"
"BLEPH2","","BLEPH2","Blepharipappus","",""
"BLSC","","BLSC","Blepharipappus scaber","Annual","Forb/herb"
"BLSCS","","BLSCS","Blepharipappus scaber ssp. scaber","Annual","Forb/herb"
"BLEPH4","","BLEPH4","Blepharoneuron","",""
"BLTR","","BLTR","Blepharoneuron tricholepis","Perennial","Graminoid"
"BOEHM","","BOEHM","Boehmeria","",""
"BOCY","","BOCY","Boehmeria cylindrica","Perennial","Forb/herb"
"BOERH2","","BOERH2","Boerhavia","",""
"BOCO","","BOCO","Boerhavia coccinea","Perennial","Forb/herb"
"BOCO2","","BOCO2","Boerhavia coulteri","Annual, Perennial","Forb/herb"
"BOER","","BOER","Boerhavia erecta","Annual, Perennial","Forb/herb"
"BOGR","","BOGR","Boerhavia gracillima","Perennial","Subshrub, Forb/herb"
"BOIN","","BOIN","Boerhavia intermedia","Annual","Forb/herb"
"BOLI2","","BOLI2","Boerhavia linearifolia","Perennial","Subshrub, Shrub, Forb/herb"
"BOPT","","BOPT","Boerhavia pterocarpa","Annual","Forb/herb"
"BOPU","","BOPU","Boerhavia purpurascens","Annual","Forb/herb"
"BOSC","","BOSC","Boerhavia scandens","Perennial","Vine, Forb/herb"
"BOSP","","BOSP","Boerhavia spicata","Annual","Forb/herb"
"BOWR","","BOWR","Boerhavia wrightii","Annual","Forb/herb"
"BOLAN","","BOLAN","Bolandra","",""
"BOOR","","BOOR","Bolandra oregana","Perennial","Forb/herb"
"BOLBO","","BOLBO","Bolboschoenus","",""
"BOFL3","","BOFL3","Bolboschoenus fluviatilis","Perennial","Graminoid"
"BOGL9","","BOGL9","Bolboschoenus glaucus","Perennial","Graminoid"
"BOMA7","","BOMA7","Bolboschoenus maritimus","Perennial","Graminoid"
"BOMAP4","","BOMAP4","Bolboschoenus maritimus ssp. paludosus","Perennial","Graminoid"
"BOLTO","","BOLTO","Boltonia","",""
"BOAS","","BOAS","Boltonia asteroides","Perennial","Forb/herb"
"BOASR","","BOASR","Boltonia asteroides var. recognita","Perennial","Forb/herb"
"BOMME","","BOMME","Bommeria","",""
"BOHI","","BOHI","Bommeria hispida","Perennial","Forb/herb"
"BOTHR","","BOTHR","Bothriochloa","",""
"BOAL3","","BOAL3","Bothriochloa alta","Perennial","Graminoid"
"BOBA3","","BOBA3","Bothriochloa barbinodis","Perennial","Graminoid"
"BOBL","","BOBL","Bothriochloa bladhii","Perennial","Graminoid"
"BOIS","","BOIS","Bothriochloa ischaemum","Perennial","Graminoid"
"BOISI","","BOISI","Bothriochloa ischaemum var. ischaemum","Perennial","Graminoid"
"BOISS","","BOISS","Bothriochloa ischaemum var. songarica","Perennial","Graminoid"
"BOLA2","","BOLA2","Bothriochloa laguroides","Perennial","Graminoid"
"BOLAT","","BOLAT","Bothriochloa laguroides ssp. torreyana","Perennial","Graminoid"
"BOSP3","","BOSP3","Bothriochloa springfieldii","Perennial","Graminoid"
"BOWR2","","BOWR2","Bothriochloa wrightii","Perennial","Graminoid"
"BOTRY","","BOTRY","Botrychium","",""
"BOAS2","","BOAS2","Botrychium ascendens","Perennial","Forb/herb"
"BOCA5","","BOCA5","Botrychium campestre","Perennial","Forb/herb"
"BOCR","","BOCR","Botrychium crenulatum","Perennial","Forb/herb"
"BOEC","","BOEC","Botrychium echo","Perennial","Forb/herb"
"BOHE5","","BOHE5","Botrychium hesperium","Perennial","Forb/herb"
"BOLA","","BOLA","Botrychium lanceolatum","Perennial","Forb/herb"
"BOLAL","","BOLAL","Botrychium lanceolatum var. lanceolatum","Perennial","Forb/herb"
